ID,hw,at,FP,co,prod,lnsize,Effort
1,1,1,1364,10,13.033724,7.22,17778
2,1,1,648,10,13.580247,6.47,8800
3,1,1,1282,10,20.803432,7.16,26670
4,1,1,176,10,7.556818,5.17,1330
5,1,3,627,10,23.132376,6.44,14504
6,1,1,1026,10,8.282651,6.93,8498
7,1,5,561,10,8.609626,6.33,4830
8,1,1,206,5,14.601942,5.33,3008
9,1,1,128,5,19.726562,4.85,2525
10,1,1,1814,3,2.480706,7.5,4500
11,2,2,609,3,2.389163,6.41,1455
12,3,1,321,3,3.831776,5.77,1230
13,1,4,355,4,21.230986,5.87,7537
14,3,1,1058,4,8.232514,6.96,8710
15,3,3,65,4,12.246154,4.17,796
16,3,1,374,4,29.473262,5.92,11023
17,2,1,1584,2,3.806818,7.37,6030
18,1,1,464,2,3.771552,6.14,1750
19,1,5,528,2,4.242424,6.27,2240
20,1,1,233,2,4.742489,5.45,1105
21,1,5,577,2,5.051993,6.36,2915
22,1,1,786,8,2.671756,6.67,2100
23,1,2,232,8,9.051724,5.45,2100
24,1,1,235,8,2.468085,5.46,580
25,1,5,196,8,2.346939,5.28,460
26,1,3,667,6,9.268366,6.5,6182
27,1,3,1035,6,4.553623,6.94,4713
28,1,1,1056,6,8.238636,6.96,8700
29,1,1,1598,6,5.065707,7.38,8095
30,1,4,1619,9,11.544163,7.39,18690
31,1,3,402,9,1.472637,6,592
32,1,4,1347,7,17.074981,7.21,23000
33,1,1,983,7,17.325534,6.89,17031
34,1,1,1719,7,10.005817,7.45,17200
35,1,4,1148,7,9.45122,7.05,10850
36,1,4,1049,7,18.017159,6.96,18900
37,1,4,755,7,19.295364,6.63,14568
38,1,2,189,7,4.126984,5.24,780
